ticker,yahoo_ticker,country,company,sector
ERIC A,ERIC-A.ST,Sweden,Ericsson A,
ERIC B,ERIC-B.ST,Sweden,Ericsson B,
ERRIA,ERRIA.CO,Denmark,Erria,
ESGR B,ESGR-B.ST,Sweden,ES Energy Save,
ESSITY A,ESSITY-A.ST,Sweden,Essity A,
ESSITY B,ESSITY-B.ST,Sweden,Essity B,
ETTE,ETTE.HE,Finland,Etteplan,
BAT,BAT.ST,Sweden,Eurobattery Minerals,
EPR,EPR.OL,Norway,Europris,
EVLI,EVLI.HE,Finland,Evli,
EVO,EVO.ST,Sweden,Evolution,
EWRK,EWRK.ST,Sweden,eWork,
EXTX,EXTX.OL,Norway,EXACT Therapeutics,
EXALT,EXALT.ST,Sweden,Exalt,
EXL1V,EXL1V.HE,Finland,Exel Composites,
EXPRS2,EXPRS2.ST,Sweden,ExpreS2ion Biotech,
EXS,EXS.ST,Sweden,Exsitec,
EYEW,EYEW.ST,Sweden,Eye World,
FABG,FABG.ST,Sweden,Fabege,
FABLE,FABLE.ST,Sweden,Fable Media,
FAG,FAG.ST,Sweden,Fagerhult,
FARON,FARON.HE,Finland,Faron Pharmaceuticals,
FG,FG.ST,Sweden,Fasadgruppen,
BALD B,BALD-B.ST,Sweden,Fast Balder,
FED,FED.CO,Denmark,Fast Ejendom,
FASTAT,FASTAT.ST,Sweden,Fastator,
EMIL PREF,EMILPREF.ST,Sweden,Fastighetsbolag Emilshus Pref,
EMIL B,EMIL-B.ST,Sweden,Fastighetsbolaget Emilshus,
FPAR A,FPAR-A.ST,Sweden,Fastpartner A,
FPAR D,FPAR-D.ST,Sweden,Fastpartner D,
FASTPC,FASTPC.CO,Denmark,FastPassCorp,
FOI B,FOI-B.ST,Sweden,Fenix Outdoor,
FERRO,FERRO.ST,Sweden,Ferroamp,
FNM,FNM.ST,Sweden,Ferronordic,
SX302010PI,SX302010PI.ST,Sweden,Finance & Credit Services,
