dataset,market,ins_id,file_path,status,rows,fetched_at,attempts,last_error,source
prices,NO,2011,prices__NO__2011.parquet,ok,1338,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2012,prices__NO__2012.parquet,ok,1336,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2015,prices__NO__2015.parquet,ok,1334,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2032,prices__NO__2032.parquet,ok,1335,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2038,prices__NO__2038.parquet,ok,1311,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2039,prices__NO__2039.parquet,ok,1312,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2041,prices__NO__2041.parquet,ok,1308,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2043,prices__NO__2043.parquet,ok,1313,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2044,prices__NO__2044.parquet,ok,1318,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2053,prices__NO__2053.parquet,ok,1300,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2054,prices__NO__2054.parquet,ok,1302,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2060,prices__NO__2060.parquet,ok,1296,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2064,prices__NO__2064.parquet,ok,1298,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2066,prices__NO__2066.parquet,ok,1275,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2070,prices__NO__2070.parquet,ok,1269,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2071,prices__NO__2071.parquet,ok,1272,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2072,prices__NO__2072.parquet,ok,1267,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2084,prices__NO__2084.parquet,ok,1255,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2085,prices__NO__2085.parquet,ok,1252,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2086,prices__NO__2086.parquet,ok,1263,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2088,prices__NO__2088.parquet,ok,1256,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2090,prices__NO__2090.parquet,ok,1246,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2091,prices__NO__2091.parquet,ok,1258,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2092,prices__NO__2092.parquet,ok,1256,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2093,prices__NO__2093.parquet,ok,1258,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2094,prices__NO__2094.parquet,ok,1250,2026-02-20T08:37:23.636157+00:00,1,,api
